id,path,caption
19,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_jumping_on_table_16.jpg,a cat sitting on a chair
20,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_jumping_on_table_18.jpg,a cat standing on top of a wooden fence
21,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_jumping_on_table_3.jpg,a cat is climbing on a shelf
22,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_jumping_on_table_8.jpg,a cat sitting on top of a counter
23,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_lying_on_sofa_0.jpg,a cat laying on top of a couch
24,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_lying_on_sofa_1.jpg,a cat sleeping in a cat bed
25,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_lying_on_sofa_13.jpg,a cat sitting on a couch with pillows
26,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_lying_on_sofa_14.jpg,a cat laying on a couch with a pillow
27,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_lying_on_sofa_15.jpg,a kitten sleeping on a couch
28,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_lying_on_sofa_16.jpg,a cat laying on a chair with a pillow
29,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_lying_on_sofa_17.jpg,a black and white cat laying on a couch
30,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_lying_on_sofa_19.jpg,a cat is laying on a red couch
31,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_lying_on_sofa_2.jpg,a cat is laying on a couch
32,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_lying_on_sofa_9.jpg,a cat laying on top of a couch
33,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_0.jpg,a cat is playing with a black and white cat
34,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_10.jpg,a small kitten playing with a toy on a bed
35,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_11.jpg,a cat playing with a toy on a couch
36,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_12.jpg,a cat playing with a toy on the floor
37,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_16.jpg,a kitten playing with a toy on a bed
38,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_17.jpg,a cat sitting on a shelf next to a stuffed animal
39,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_4.jpg,a cat is sitting in a tunnel
40,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_5.jpg,a cat sitting on a table with a flower on its head
41,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_6.jpg,a cat looking at a chicken in a kitchen
42,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_7.jpg,a cat playing with a mouse on a bed
43,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_playing_with_toy_9.jpg,two kittens playing with a toy on a bed
44,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_resting_on_chair_1.jpg,a cat laying on top of a chair
45,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_resting_on_chair_12.jpg,a cat sleeping on a chair
46,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_resting_on_chair_15.jpg,a cat is sleeping on a chair in a room
47,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_resting_on_chair_2.jpg,a cat is sitting on a chair with a bag
48,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_resting_on_chair_9.jpg,a cat sitting on a wooden chair in front of a brick wall
49,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sitting_near_window_17.jpg,a cat sitting on a window ledge
50,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sitting_near_window_19.jpg,a cat sitting in a window looking out
51,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sitting_near_window_2.jpg,a cat sitting in a window on a wall
52,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sitting_near_window_7.jpg,a cat sitting on the window sie looking out
53,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sitting_near_window_9.jpg,a cat sitting on a window sie
54,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_bed_11.jpg,a cat laying on top of a bed
55,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_bed_14.jpg,a cat sleeping on a bed with its head on the pillow
56,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_bed_16.jpg,a cat laying on top of a bed
57,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_bed_19.jpg,a sphyhyhyhyhyhyhyhyhyhyhyhyhyhyhyhyhyhyhy
58,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_bed_4.jpg,a cat sleeping on a blue blanket
59,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_bed_6.jpg,a cat sleeping on a bed with its head on the pillow
60,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_bed_7.jpg,a cat sleeping on top of a blanket
61,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_bed_8.jpg,a cat is sleeping on a couch
62,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_bed_9.jpg,a cat laying on top of a bed
63,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_laptop_0.jpg,a cat laying on a blue tiled roof
64,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_laptop_1.jpg,a cat laying on a laptop keyboard
65,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_laptop_18.jpg,a cat laying on top of a laptop
66,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_laptop_2.jpg,a cat is sleeping on a laptop
67,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_laptop_4.jpg,a cat sitting on a bed looking at a laptop
68,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_laptop_6.jpg,a cat sleeping on a laptop keyboard
69,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_laptop_7.jpg,a white cat laying on top of a laptop
70,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_0.jpg,a cat is playing with a ball in the grass
71,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_10.jpg,a cat sitting on the hood of a car
72,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_12.jpg,a cat is sleeping on a person's lap
73,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_13.jpg,a cat laying on the ground
74,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_15.jpg,a cat laying on a table
75,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_16.jpg,a cat sleeping in a pink cat bed
76,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_2.jpg,a cat is standing on the hood of a car
77,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_4.jpg,a cat is walking on the ground
78,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_5.jpg,a cat standing on top of a tree
79,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_7.jpg,a cat laying on the ground next to a chair
80,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_9.jpg,a cat sitting on the hood of a car
81,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_kitten_drinking_milk_1.jpg,a cat drinking out of a bowl
82,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_kitten_drinking_milk_10.jpg,a cat eating from a bowl of water
83,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_kitten_drinking_milk_16.jpg,a cat is laying on the ground next to a bowl
84,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_kitten_drinking_milk_18.jpg,a kitten is playing with a toy
85,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_kitten_drinking_milk_19.jpg,a black and white kitten sitting on a table
86,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_street_cat_walking_0.jpg,a cat walking down a stone steps
87,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_street_cat_walking_16.jpg,a cat walking on the sidewalk
88,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_street_cat_walking_18.jpg,a cat sitting on a sidewalk with a red collar
89,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_street_cat_walking_2.jpg,a cat sitting on a blue bench
90,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_street_cat_walking_3.jpg,a small kitten sitting in the dirt
91,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_two_cats_playing_0.jpg,two cats are sitting on a blanket looking at each other cats
92,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_two_cats_playing_1.jpg,a cat and a cat looking out a window
93,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_two_cats_playing_11.jpg,a cat is laying on the floor next to a speaker
94,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_two_cats_playing_12.jpg,two cats laying on a birdbat
95,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_two_cats_playing_19.jpg,two cats sitting on the ground
96,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_two_cats_playing_2.jpg,a cat is sitting on a window sie
97,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_two_cats_playing_4.jpg,a cat and a cat laying in the dirt
98,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_two_cats_playing_6.jpg,two cats walking through a field of tall grass
99,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_two_cats_playing_8.jpg,two cats sitting on a wooden bench
100,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_barking_outdoors_15.jpg,a dog is running in the grass near a bench
101,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_barking_outdoors_5.jpg,a dog sitting on the ground looking at something
102,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_catching_frisbee_2.jpg,a dog jumping in the air with its mouth open
103,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_drinking_water_0.jpg,a dog drinking water from a metal bowl
104,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_drinking_water_11.jpg,a dog with its tongue sticking out of its mouth
105,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_drinking_water_15.jpg,a dog carrying a plastic bottle in its mouth
106,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_drinking_water_17.jpg,a dog is being held by a person
107,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_drinking_water_18.jpg,a dog drinking water out of a bowl
108,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_drinking_water_4.jpg,a small dog standing in a puddle with its tongue out
109,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_drinking_water_9.jpg,a puppy drinking water from a bowl
110,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_in_living_room_1.jpg,a small white dog laying under a table
111,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_in_living_room_11.jpg,a small dog sitting on the floor in a living room
112,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_in_living_room_17.jpg,a puppy laying on top of a bed
113,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_lying_on_grass_10.jpg,a dog laying in the grass with its tongue out
114,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_lying_on_grass_11.jpg,a corgy dog laying on the grass
115,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_lying_on_grass_18.jpg,a black dog laying on the grass
116,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_lying_on_grass_19.jpg,a dog laying in the grass with its head on the ground
117,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_lying_on_grass_3.jpg,a small dog with a blue collar sitting in the grass
118,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_lying_on_grass_6.jpg,a black dog laying in the grass
119,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_lying_on_grass_7.jpg,two dogs sitting in the grass outside
120,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_lying_on_grass_8.jpg,a dog laying in the grass
121,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_lying_on_grass_9.jpg,a dog sleeping in the grass
122,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_10.jpg,a dog running through the water in a lake
123,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_11.jpg,a dog running on the beach with a fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr
124,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_12.jpg,a dog jumping in the air to catch a frur
125,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_13.jpg,a dog running through the snow with a tennis ball in its mouth
126,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_14.jpg,a dog running with a tennis ball in its mouth
127,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_16.jpg,a dog running through the water in the water
128,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_18.jpg,a dog standing on the beach looking out to the water
129,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_19.jpg,a dog running across a lush green field
130,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_4.jpg,a small dog running with a red ball in its mouth
131,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_7.jpg,a dog is wadi in the water
132,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_8.jpg,a dog running through the snow covered grass
133,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_in_park_13.jpg,a dog standing in the water at sunset
134,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_in_park_14.jpg,a dog standing in the water with its head in the water
135,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_in_park_16.jpg,a dog running through a pool with water
136,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_in_park_2.jpg,a black dog running across a field with a frc
137,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_in_park_8.jpg,a dog walking along a river
138,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_on_beach_10.jpg,a dog running through a river with water
139,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_on_beach_11.jpg,a dog running on the beach with a tennis ball in its mouth
140,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_on_beach_13.jpg,two dogs running on the beach
141,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_on_beach_2.jpg,a dog running on the beach with its mouth open
142,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_on_beach_7.jpg,two dogs playing on the beach
143,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_on_beach_8.jpg,a dog running on the beach with its tongue out
144,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_on_beach_9.jpg,a dog running through the water with a fish in its mouth
145,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sitting_beside_owner_0.jpg,a dog is sitting on the ground next to a table
146,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sitting_beside_owner_1.jpg,a white dog sitting on a person's lap
147,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sitting_beside_owner_17.jpg,a dog standing in front of a restaurant
148,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sitting_beside_owner_3.jpg,a person sitting on a bench with a dog
149,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sitting_beside_owner_5.jpg,a white dog sitting in a wooden chair
150,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sitting_beside_owner_7.jpg,a dog sitting on a red chair in front of a red chair
151,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sleeping_indoors_1.jpg,a cat laying on a couch next to a plant
152,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sleeping_indoors_10.jpg,a dog sitting on a grey dog bed
153,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sleeping_indoors_15.jpg,a dog sleeping on a blanket
154,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sleeping_indoors_18.jpg,a dog laying on the floor next to a chair
155,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sleeping_indoors_19.jpg,a dog laying on the floor in front of a window
156,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sleeping_indoors_2.jpg,a small dog is laying on a blanket
157,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sleeping_indoors_4.jpg,a dog laying on a rug in a room
158,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sleeping_indoors_5.jpg,a small dog sleeping on a bed
159,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sleeping_indoors_9.jpg,a french bulldog sleeping on the floor
160,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_swimming_in_pool_11.jpg,a dog standing in the water with a tennis ball
161,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_swimming_in_pool_12.jpg,a brown dog with blue eyes sitting on a wooden floor
162,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_swimming_in_pool_15.jpg,a dog swimming in a pool with its head above the water
163,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_swimming_in_pool_18.jpg,a dog swimming in a pool with a ball
164,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_swimming_in_pool_19.jpg,a dog swimming in a pool with water
165,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_swimming_in_pool_4.jpg,a dog swimming in a pool with a toy in its mouth
166,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_swimming_in_pool_8.jpg,a dog swimming in a lake
167,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_wearing_bandana_0.jpg,a small dog standing on a ledge
168,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_wearing_bandana_11.jpg,a dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal
169,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_wearing_bandana_14.jpg,a dog is standing on a rug in a room
170,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_wearing_bandana_15.jpg,a small dog wearing a red and black plaid shirt
171,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_wearing_bandana_17.jpg,a small white dog sitting in a tree
172,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_wearing_bandana_19.jpg,a small dog wearing a red sweater
173,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_wearing_bandana_4.jpg,a small white dog with a blue banda on its neck
174,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_wearing_bandana_6.jpg,a dog wearing a colorful vest and a striped vest
175,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_wearing_bandana_8.jpg,a dog laying on the ground wearing a red and black scarf
176,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_playing_with_ball_11.jpg,a dog laying on the ground with a ball in its mouth
177,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_playing_with_ball_12.jpg,a dog running in the grass with a tennis ball in its mouth
178,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_playing_with_ball_14.jpg,a dog running with a ball in its mouth
179,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_playing_with_ball_15.jpg,a dog running with a frurd frurd fr frurd
180,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_playing_with_ball_17.jpg,a dog playing with a ball in the grass
181,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_playing_with_ball_18.jpg,a small dog playing with a ball in the grass
182,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_playing_with_ball_4.jpg,a dog standing on a beach next to the ocean
183,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_resting_in_bed_0.jpg,a dog laying on top of a blanket
184,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_resting_in_bed_10.jpg,a small dog laying in a bed
185,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_resting_in_bed_12.jpg,a dog laying on top of a bed
186,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_resting_in_bed_15.jpg,a small dog sitting on top of a bed
187,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_resting_in_bed_4.jpg,a white dog is laying under a blanket
188,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_0.jpg,two dogs running on the beach
189,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_10.jpg,two dogs playing in the sand
190,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_11.jpg,two small dogs walking on a leash
191,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_12.jpg,two dogs playing in the sand
192,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_17.jpg,a dog and a dog playing in the grass
193,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_18.jpg,a dog is laying in the grass in a field
194,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_3.jpg,a dog walking on a sidewalk next to a building
195,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_4.jpg,two dogs playing in the snow
196,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_5.jpg,two dogs playing in the snow
