path,caption
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_resting_on_chair_1.jpg,a cat laying on top of a chair
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_resting_on_chair_12.jpg,a cat sleeping on a chair
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_resting_on_chair_15.jpg,a cat is sleeping on a chair in a room
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_resting_on_chair_2.jpg,a cat is sitting on a chair with a bag
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_resting_on_chair_9.jpg,a cat sitting on a wooden chair in front of a brick wall
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sitting_near_window_17.jpg,a cat sitting on a window ledge
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sitting_near_window_19.jpg,a cat sitting in a window looking out
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sitting_near_window_2.jpg,a cat sitting in a window on a wall
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sitting_near_window_7.jpg,a cat sitting on the window sie looking out
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sitting_near_window_9.jpg,a cat sitting on a window sie
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_bed_11.jpg,a cat laying on top of a bed
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_bed_14.jpg,a cat sleeping on a bed with its head on the pillow
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_bed_16.jpg,a cat laying on top of a bed
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_bed_19.jpg,a sphyhyhyhyhyhyhyhyhyhyhyhyhyhyhyhyhyhyhy
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_bed_4.jpg,a cat sleeping on a blue blanket
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_bed_6.jpg,a cat sleeping on a bed with its head on the pillow
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_bed_7.jpg,a cat sleeping on top of a blanket
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_bed_8.jpg,a cat is sleeping on a couch
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_bed_9.jpg,a cat laying on top of a bed
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_laptop_0.jpg,a cat laying on a blue tiled roof
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_laptop_1.jpg,a cat laying on a laptop keyboard
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_laptop_18.jpg,a cat laying on top of a laptop
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_laptop_2.jpg,a cat is sleeping on a laptop
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_laptop_4.jpg,a cat sitting on a bed looking at a laptop
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_laptop_6.jpg,a cat sleeping on a laptop keyboard
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_sleeping_on_laptop_7.jpg,a white cat laying on top of a laptop
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_0.jpg,a cat is playing with a ball in the grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_10.jpg,a cat sitting on the hood of a car
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_12.jpg,a cat is sleeping on a person's lap
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_13.jpg,a cat laying on the ground
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_15.jpg,a cat laying on a table
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_16.jpg,a cat sleeping in a pink cat bed
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_2.jpg,a cat is standing on the hood of a car
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_4.jpg,a cat is walking on the ground
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_5.jpg,a cat standing on top of a tree
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_7.jpg,a cat laying on the ground next to a chair
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_cat_stretching_9.jpg,a cat sitting on the hood of a car
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_kitten_drinking_milk_1.jpg,a cat drinking out of a bowl
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_kitten_drinking_milk_10.jpg,a cat eating from a bowl of water
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_kitten_drinking_milk_16.jpg,a cat is laying on the ground next to a bowl
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_kitten_drinking_milk_18.jpg,a kitten is playing with a toy
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_kitten_drinking_milk_19.jpg,a black and white kitten sitting on a table
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_street_cat_walking_0.jpg,a cat walking down a stone steps
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_street_cat_walking_16.jpg,a cat walking on the sidewalk
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_street_cat_walking_18.jpg,a cat sitting on a sidewalk with a red collar
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_street_cat_walking_2.jpg,a cat sitting on a blue bench
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_street_cat_walking_3.jpg,a small kitten sitting in the dirt
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_two_cats_playing_0.jpg,two cats are sitting on a blanket looking at each other cats
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_two_cats_playing_1.jpg,a cat and a cat looking out a window
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_two_cats_playing_11.jpg,a cat is laying on the floor next to a speaker
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_two_cats_playing_12.jpg,two cats laying on a birdbat
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_two_cats_playing_19.jpg,two cats sitting on the ground
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_two_cats_playing_2.jpg,a cat is sitting on a window sie
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_two_cats_playing_4.jpg,a cat and a cat laying in the dirt
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_two_cats_playing_6.jpg,two cats walking through a field of tall grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\cat_two_cats_playing_8.jpg,two cats sitting on a wooden bench
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_barking_outdoors_15.jpg,a dog is running in the grass near a bench
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_barking_outdoors_5.jpg,a dog sitting on the ground looking at something
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_catching_frisbee_2.jpg,a dog jumping in the air with its mouth open
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_drinking_water_0.jpg,a dog drinking water from a metal bowl
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_drinking_water_11.jpg,a dog with its tongue sticking out of its mouth
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_drinking_water_15.jpg,a dog carrying a plastic bottle in its mouth
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_drinking_water_17.jpg,a dog is being held by a person
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_drinking_water_18.jpg,a dog drinking water out of a bowl
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_drinking_water_4.jpg,a small dog standing in a puddle with its tongue out
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_drinking_water_9.jpg,a puppy drinking water from a bowl
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_in_living_room_1.jpg,a small white dog laying under a table
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_in_living_room_11.jpg,a small dog sitting on the floor in a living room
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_in_living_room_17.jpg,a puppy laying on top of a bed
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_lying_on_grass_10.jpg,a dog laying in the grass with its tongue out
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_lying_on_grass_11.jpg,a corgy dog laying on the grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_lying_on_grass_18.jpg,a black dog laying on the grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_lying_on_grass_19.jpg,a dog laying in the grass with its head on the ground
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_lying_on_grass_3.jpg,a small dog with a blue collar sitting in the grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_lying_on_grass_6.jpg,a black dog laying in the grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_lying_on_grass_7.jpg,two dogs sitting in the grass outside
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_lying_on_grass_8.jpg,a dog laying in the grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_lying_on_grass_9.jpg,a dog sleeping in the grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_10.jpg,a dog running through the water in a lake
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_11.jpg,a dog running on the beach with a fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_12.jpg,a dog jumping in the air to catch a frur
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_13.jpg,a dog running through the snow with a tennis ball in its mouth
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_14.jpg,a dog running with a tennis ball in its mouth
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_16.jpg,a dog running through the water in the water
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_18.jpg,a dog standing on the beach looking out to the water
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_19.jpg,a dog running across a lush green field
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_4.jpg,a small dog running with a red ball in its mouth
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_7.jpg,a dog is wadi in the water
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_playing_fetch_8.jpg,a dog running through the snow covered grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_in_park_13.jpg,a dog standing in the water at sunset
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_in_park_14.jpg,a dog standing in the water with its head in the water
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_in_park_16.jpg,a dog running through a pool with water
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_in_park_2.jpg,a black dog running across a field with a frc
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_in_park_8.jpg,a dog walking along a river
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_on_beach_10.jpg,a dog running through a river with water
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_on_beach_11.jpg,a dog running on the beach with a tennis ball in its mouth
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_on_beach_13.jpg,two dogs running on the beach
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_on_beach_2.jpg,a dog running on the beach with its mouth open
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_on_beach_7.jpg,two dogs playing on the beach
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_on_beach_8.jpg,a dog running on the beach with its tongue out
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_running_on_beach_9.jpg,a dog running through the water with a fish in its mouth
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sitting_beside_owner_0.jpg,a dog is sitting on the ground next to a table
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sitting_beside_owner_1.jpg,a white dog sitting on a person's lap
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sitting_beside_owner_17.jpg,a dog standing in front of a restaurant
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sitting_beside_owner_3.jpg,a person sitting on a bench with a dog
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sitting_beside_owner_5.jpg,a white dog sitting in a wooden chair
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sitting_beside_owner_7.jpg,a dog sitting on a red chair in front of a red chair
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sleeping_indoors_1.jpg,a cat laying on a couch next to a plant
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sleeping_indoors_10.jpg,a dog sitting on a grey dog bed
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sleeping_indoors_15.jpg,a dog sleeping on a blanket
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sleeping_indoors_18.jpg,a dog laying on the floor next to a chair
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sleeping_indoors_19.jpg,a dog laying on the floor in front of a window
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sleeping_indoors_2.jpg,a small dog is laying on a blanket
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sleeping_indoors_4.jpg,a dog laying on a rug in a room
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sleeping_indoors_5.jpg,a small dog sleeping on a bed
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_sleeping_indoors_9.jpg,a french bulldog sleeping on the floor
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_swimming_in_pool_11.jpg,a dog standing in the water with a tennis ball
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_swimming_in_pool_12.jpg,a brown dog with blue eyes sitting on a wooden floor
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_swimming_in_pool_15.jpg,a dog swimming in a pool with its head above the water
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_swimming_in_pool_18.jpg,a dog swimming in a pool with a ball
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_swimming_in_pool_19.jpg,a dog swimming in a pool with water
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_swimming_in_pool_4.jpg,a dog swimming in a pool with a toy in its mouth
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_swimming_in_pool_8.jpg,a dog swimming in a lake
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_wearing_bandana_0.jpg,a small dog standing on a ledge
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_wearing_bandana_11.jpg,a dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal dal
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_wearing_bandana_14.jpg,a dog is standing on a rug in a room
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_wearing_bandana_15.jpg,a small dog wearing a red and black plaid shirt
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_wearing_bandana_17.jpg,a small white dog sitting in a tree
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_wearing_bandana_19.jpg,a small dog wearing a red sweater
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_wearing_bandana_4.jpg,a small white dog with a blue banda on its neck
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_wearing_bandana_6.jpg,a dog wearing a colorful vest and a striped vest
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_dog_wearing_bandana_8.jpg,a dog laying on the ground wearing a red and black scarf
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_playing_with_ball_11.jpg,a dog laying on the ground with a ball in its mouth
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_playing_with_ball_12.jpg,a dog running in the grass with a tennis ball in its mouth
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_playing_with_ball_14.jpg,a dog running with a ball in its mouth
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_playing_with_ball_15.jpg,a dog running with a frurd frurd fr frurd
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_playing_with_ball_17.jpg,a dog playing with a ball in the grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_playing_with_ball_18.jpg,a small dog playing with a ball in the grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_playing_with_ball_4.jpg,a dog standing on a beach next to the ocean
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_resting_in_bed_0.jpg,a dog laying on top of a blanket
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_resting_in_bed_10.jpg,a small dog laying in a bed
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_resting_in_bed_12.jpg,a dog laying on top of a bed
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_resting_in_bed_15.jpg,a small dog sitting on top of a bed
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_puppy_resting_in_bed_4.jpg,a white dog is laying under a blanket
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_0.jpg,two dogs running on the beach
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_10.jpg,two dogs playing in the sand
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_11.jpg,two small dogs walking on a leash
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_12.jpg,two dogs playing in the sand
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_17.jpg,a dog and a dog playing in the grass
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_18.jpg,a dog is laying in the grass in a field
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_3.jpg,a dog walking on a sidewalk next to a building
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_4.jpg,two dogs playing in the snow
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_5.jpg,two dogs playing in the snow
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_6.jpg,two dogs running in a grassy field
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_7.jpg,two dogs playing with a stuffed animal toy
D:\Sem1_25-26\Thesis\source\dataset_animals\subset\subset_100\dog_two_dogs_playing_together_9.jpg,a dog and a dog are playing with a fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr
