id,path,caption
39,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_swimming_in_pool_15.jpg,a dog swimming in a pool with its head above the water
40,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_swimming_in_pool_19.jpg,a dog swimming in a pool with water
41,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_swimming_in_pool_4.jpg,a dog swimming in a pool with a toy in its mouth
42,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_dog_wearing_bandana_6.jpg,a dog wearing a colorful vest and a striped vest
43,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_puppy_playing_with_ball_11.jpg,a dog laying on the ground with a ball in its mouth
44,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_puppy_playing_with_ball_18.jpg,a small dog playing with a ball in the grass
45,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_puppy_resting_in_bed_10.jpg,a small dog laying in a bed
46,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_puppy_resting_in_bed_4.jpg,a white dog is laying under a blanket
47,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_two_dogs_playing_together_17.jpg,a dog and a dog playing in the grass
48,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_two_dogs_playing_together_3.jpg,a dog walking on a sidewalk next to a building
49,D:\Sem1_25-26\Thesis\source\dataset_animals\subset\train_subset_50\images\dog_two_dogs_playing_together_9.jpg,a dog and a dog are playing with a fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr
